"presenca" "NM_MUNICIP" "lat" "lon"
"159" "Absent" "BONFIM" -20.28283 -44.191
"160" "Absent" "ESMERALDAS" -19.73636 -44.19083
"161" "Absent" "BONFIM" -20.3592 -44.1906
"162" "Present" "BONFIM" -20.39083 -44.1903
"163" "Absent" "BONFIM" -20.23539 -44.1875
"164" "Absent" "BONFIM" -20.25811 -44.1872
"165" "Absent" "BONFIM" -20.36528 -44.1817
"166" "Absent" "ANDRELÂNDIA" -21.82301 -44.1814
"167" "Present" "PIEDADE DOS GERAIS" -20.39603 -44.1813
"168" "Present" "BONFIM" -20.3775 -44.1803
"169" "Absent" "BONFIM" -20.3775 -44.1803
"170" "Present" "BONFIM" -20.37806 -44.1792
"171" "Present" "BONFIM" -20.25784 -44.1788
"172" "Present" "BONFIM" -20.3806 -44.1767
"173" "Absent" "BONFIM" -20.28269 -44.1757
"174" "Present" "BONFIM" -20.3578 -44.1736
"175" "Present" "BONFIM" -20.375 -44.1731
"176" "Present" "BONFIM" -20.3794 -44.1714
"177" "Present" "BONFIM" -20.3808 -44.1714
"178" "Present" "BONFIM" -20.39492 -44.1713
"179" "Present" "BONFIM" -20.3858 -44.1706
"180" "Absent" "ESMERALDAS" -19.72081 -44.17
"181" "Present" "BONFIM" -20.39694 -44.1697
"182" "Present" "BONFIM" -20.41 -44.1694
"183" "Present" "BONFIM" -20.405 -44.1692
"184" "Present" "BONFIM" -20.40833 -44.1689
"185" "Present" "BONFIM" -20.405 -44.1683
"186" "Present" "BONFIM" -20.4011 -44.1681
"187" "Present" "BONFIM" -20.4008 -44.1681
"188" "Absent" "BONFIM" -20.4119 -44.1678
"189" "Present" "BONFIM" -20.4014 -44.1675
"190" "Present" "BONFIM" -20.26589 -44.1654
"191" "Present" "BONFIM" -20.26978 -44.1653
"192" "Present" "BONFIM" -20.38806 -44.1636
"193" "Present" "BONFIM" -20.27367 -44.1633
"194" "Present" "BONFIM" -20.4064 -44.1592
"195" "Absent" "ESMERALDAS" -19.71464 -44.15861
"196" "Present" "BONFIM" -20.3897 -44.1572
"197" "Present" "BONFIM" -20.26403 -44.1534
"198" "Present" "BONFIM" -20.26444 -44.1479
"199" "Present" "BONFIM" -20.25822 -44.146
"200" "Absent" "RIBEIRÃO DAS NEVES" -19.73736 -44.14528
"201" "Absent" "BONFIM" -20.26169 -44.1447
"202" "Absent" "RIBEIRÃO DAS NEVES" -19.75083 -44.14333
"203" "Present" "ESMERALDAS" -19.70208 -44.14306
"204" "Absent" "RIBEIRÃO DAS NEVES" -19.73969 -44.14278
"205" "Present" "BONFIM" -20.30282 -44.1422
"206" "Present" "BONFIM" -20.27631 -44.1413
"207" "Absent" "BONFIM" -20.27817 -44.1395
"208" "Absent" "BONFIM" -20.27267 -44.1377
"209" "Absent" "RIBEIRÃO DAS NEVES" -19.73389 -44.13639
"210" "Absent" "BONFIM" -20.2639 -44.1344
"211" "Present" "BONFIM" -20.26265 -44.1339
"212" "Present" "BONFIM" -20.28886 -44.1331
"213" "Absent" "BONFIM" -20.2544 -44.1314
"214" "Absent" "BONFIM" -20.26264 -44.1308
"215" "Absent" "BONFIM" -20.31056 -44.1299
"216" "Absent" "BONFIM" -20.2625 -44.1272
"217" "Present" "BONFIM" -20.26136 -44.1256
"218" "Absent" "RIBEIRÃO DAS NEVES" -19.72606 -44.125
"219" "Absent" "BONFIM" -20.28947 -44.1195
"220" "Absent" "BONFIM" -20.27778 -44.1191
"221" "Absent" "PEDRO LEOPOLDO" -19.71006 -44.11833
"222" "Present" "BELO VALE" -20.42583 -44.0142
"223" "Present" "BRUMADINHO" -20.26056 -44.0106
"224" "Present" "SACRAMENTO" -20.17413 -47.0888
"225" "Present" "SACRAMENTO" -20.16433 -47.1167
"226" "Absent" "SACRAMENTO" -19.88525 -47.347
"227" "Absent" "SACRAMENTO" -19.88111 -47.4756
"228" "Present" "SACRAMENTO" -19.83639 -47.51806
"229" "Present" "MONTE SANTO DE MINAS" -21.23406 -46.9854
"230" "Present" "MONTE SANTO DE MINAS" -21.22642 -46.9726
"231" "Present" "MONTE SANTO DE MINAS" -21.14147 -46.9623
"232" "Present" "MONTE SANTO DE MINAS" -21.15269 -46.8303
"233" "Present" "MONTE SANTO DE MINAS" -21.14122 -46.8292
"234" "Present" "MONTE SANTO DE MINAS" -21.14106 -46.8228
"235" "Present" "ARCEBURGO" -21.30264 -46.9498
"236" "Absent" "FRUTAL" -20.14469 -48.9378
"237" "Absent" "FRUTAL" -20.14011 -48.8491
"238" "Absent" "FRUTAL" -20.13497 -48.8039
"239" "Absent" "FRUTAL" -20.13172 -49.137
"240" "Absent" "FRUTAL" -20.12989 -48.9332
"241" "Present" "FRUTAL" -20.12293 -48.8029
"242" "Present" "FRUTAL" -20.11564 -49.1248
"243" "Present" "FRUTAL" -20.09991 -48.9598
"244" "Present" "FRUTAL" -20.08356 -49.0748
"245" "Absent" "FRUTAL" -20.08058 -49.0748
"246" "Absent" "FRUTAL" -20.07289 -48.7871
"247" "Present" "FRUTAL" -20.07 -48.77
"248" "Absent" "FRUTAL" -20.06842 -48.8986
"249" "Absent" "FRUTAL" -20.06 -48.83
"250" "Present" "FRUTAL" -20.04247 -48.8916
"251" "Absent" "FRUTAL" -20.04214 -48.881
"252" "Absent" "FRUTAL" -20.03689 -49.0841
